ea,name,name_origin,source_kind,original_symbol,demangled_symbol,translated_alias,segment,size,xrefs_to,flags,is_thunk,is_library,is_default_sub
860704,plt_THTMLPage_freeAlignments_void,elf_symbol,plt_thunk,._ZN9THTMLPage14freeAlignmentsEv,THTMLPage::freeAlignments(void),plt_THTMLPage_freeAlignments_void,.plt,16,2,5312,True,False,False
860720,.FT_Set_Renderer,ida_named_non_elf,,,,,.plt,16,2,5312,True,False,False
860736,plt_TResourceFunctions_checkAddEmoticonFile_TString_const,elf_symbol,plt_thunk,._ZN18TResourceFunctions20checkAddEmoticonFileERK7TString,TResourceFunctions::checkAddEmoticonFile(TString const&),plt_TResourceFunctions_checkAddEmoticonFile_TString_const,.plt,16,1,5312,True,False,False
860752,plt_TScriptSpace_findEventObject_TString_const,elf_symbol,plt_thunk,._ZN12TScriptSpace15findEventObjectERK7TString,TScriptSpace::findEventObject(TString const&),plt_TScriptSpace_findEventObject_TString_const,.plt,16,2,5312,True,False,False
860768,plt_TGraalVar_invokeEvent_TString_const,elf_symbol,plt_thunk,._ZN9TGraalVar11invokeEventERK7TString,TGraalVar::invokeEvent(TString const&),plt_TGraalVar_invokeEvent_TString_const,.plt,16,40,5312,True,False,False
860784,plt_TScriptFunction_clearCallStackEntries_void,elf_symbol,plt_thunk,._ZN15TScriptFunction21clearCallStackEntriesEv,TScriptFunction::clearCallStackEntries(void),plt_TScriptFunction_clearCallStackEntries_void,.plt,16,2,5312,True,False,False
860800,plt_strtoboolean_TString_const,elf_symbol,plt_thunk,._Z12strtobooleanRK7TString,strtoboolean(TString const&),plt_strtoboolean_TString_const,.plt,16,22,5312,True,False,False
860816,plt_TPlayer_doServerModifies3_TServerLevel_TString_const_bool,elf_symbol,plt_thunk,._ZN7TPlayer17doServerModifies3EP12TServerLevelRK7TStringb,"TPlayer::doServerModifies3(TServerLevel *,TString const&,bool)",plt_TPlayer_doServerModifies3_TServerLevel_TString_const_bool,.plt,16,1,5312,True,False,False
860832,plt_TGaniObject_setChat_TString_const_bool,elf_symbol,plt_thunk,._ZN11TGaniObject7setChatERK7TStringb,"TGaniObject::setChat(TString const&,bool)",plt_TGaniObject_setChat_TString_const_bool,.plt,16,2,5312,True,False,False
860848,plt_TFileNameScan_scanDataFolder_void,elf_symbol,plt_thunk,._ZN13TFileNameScan14scanDataFolderEv,TFileNameScan::scanDataFolder(void),plt_TFileNameScan_scanDataFolder_void,.plt,16,1,5312,True,False,False
860864,plt_TBitmap_allocateBitmap_uint_uint_bool_TBitmap_BitmapFormat,elf_symbol,plt_thunk,._ZN7TBitmap14allocateBitmapEjjbNS_12BitmapFormatE,"TBitmap::allocateBitmap(uint,uint,bool,TBitmap::BitmapFormat)",plt_TBitmap_allocateBitmap_uint_uint_bool_TBitmap_BitmapFormat,.plt,16,5,5312,True,False,False
860880,plt_TFiles_getFolder_TString_const_TString_const_bool_bool,elf_symbol,plt_thunk,._ZN6TFiles9getFolderERK7TStringS2_bb,"TFiles::getFolder(TString const&,TString const&,bool,bool)",plt_TFiles_getFolder_TString_const_TString_const_bool_bool,.plt,16,6,5312,True,False,False
860896,plt_CyaInt_mp_set_CyaInt_mp_int_uint,elf_symbol,plt_thunk,._ZN6CyaInt6mp_setEPNS_6mp_intEj,"CyaInt::mp_set(CyaInt::mp_int *,uint)",plt_CyaInt_mp_set_CyaInt_mp_int_uint,.plt,16,8,5312,True,False,False
860912,plt_T2DMatrix_T2DMatrix_void,elf_symbol,plt_thunk,._ZN9T2DMatrixC1Ev,T2DMatrix::T2DMatrix(void),plt_T2DMatrix_T2DMatrix_void,.plt,16,36,5312,True,False,False
860928,plt_TClient_connectToGameServer_void,elf_symbol,plt_thunk,._ZN7TClient19connectToGameServerEv,TClient::connectToGameServer(void),plt_TClient_connectToGameServer_void,.plt,16,1,5312,True,False,False
860944,plt_TClient_getDownloadProgress_TString_const,elf_symbol,plt_thunk,._ZN7TClient19getDownloadProgressERK7TString,TClient::getDownloadProgress(TString const&),plt_TClient_getDownloadProgress_TString_const,.plt,16,1,5312,True,False,False
860960,plt_TResourceObjectLink_getLink_void,elf_symbol,plt_thunk,._ZN19TResourceObjectLink7getLinkEPv,TResourceObjectLink::getLink(void *),plt_TResourceObjectLink_getLink_void,.plt,16,34,5312,True,False,False
860976,plt_TFileDownload_canDownload_void,elf_symbol,plt_thunk,._ZN13TFileDownload11canDownloadEv,TFileDownload::canDownload(void),plt_TFileDownload_canDownload_void,.plt,16,3,5312,True,False,False
860992,.memcpy,ida_named_non_elf,,,,,.plt,16,241,5312,True,False,False
861008,.jpeg_destroy,ida_named_non_elf,,,,,.plt,16,3,5312,True,False,False
861024,plt_TParticleEmitter_setNrofParticles_int,elf_symbol,plt_thunk,._ZN16TParticleEmitter16setNrofParticlesEi,TParticleEmitter::setNrofParticles(int),plt_TParticleEmitter_setNrofParticles_int,.plt,16,1,5312,True,False,False
861040,.getsockname,ida_named_non_elf,,,,,.plt,16,3,5312,True,False,False
861056,plt_GuiContextMenuCtrlProperties_GuiContextMenuCtrlProperties_void,elf_symbol,plt_thunk,._ZN28GuiContextMenuCtrlPropertiesC1Ev,GuiContextMenuCtrlProperties::GuiContextMenuCtrlProperties(void),plt_GuiContextMenuCtrlProperties_GuiContextMenuCtrlProperties_void,.plt,16,1,5312,True,False,False
861072,plt_TDrawingPanelPort_save_TString_const_int,elf_symbol,plt_thunk,._ZN17TDrawingPanelPort4saveERK7TStringi,"TDrawingPanelPort::save(TString const&,int)",plt_TDrawingPanelPort_save_TString_const_int,.plt,16,1,5312,True,False,False
861088,plt_CyaInt_SendCertificate_CyaInt_CYASSL,elf_symbol,plt_thunk,._ZN6CyaInt15SendCertificateEPNS_6CYASSLE,CyaInt::SendCertificate(CyaInt::CYASSL *),plt_CyaInt_SendCertificate_CyaInt_CYASSL,.plt,16,1,5312,True,False,False
861104,plt_TServerNPCProperties_TServerNPCProperties_void,elf_symbol,plt_thunk,._ZN20TServerNPCPropertiesC1Ev,TServerNPCProperties::TServerNPCProperties(void),plt_TServerNPCProperties_TServerNPCProperties_void,.plt,16,1,5312,True,False,False
861120,plt_TScriptMachine_clearCallStack_void,elf_symbol,plt_thunk,._ZN14TScriptMachine14clearCallStackEv,TScriptMachine::clearCallStack(void),plt_TScriptMachine_clearCallStack_void,.plt,16,3,5312,True,False,False
861136,plt_TGraalVar_updateArrayString_void,elf_symbol,plt_thunk,._ZN9TGraalVar17updateArrayStringEv,TGraalVar::updateArrayString(void),plt_TGraalVar_updateArrayString_void,.plt,16,2,5312,True,False,False
861152,plt_TPlayer_drawNPCImage_TString_const_float_float_bool_int_int_int_int_float,elf_symbol,plt_thunk,._ZN7TPlayer12drawNPCImageERK7TStringffbiiiif,"TPlayer::drawNPCImage(TString const&,float,float,bool,int,int,int,int,float)",plt_TPlayer_drawNPCImage_TString_const_float_float_bool_int_int_int_int_float,.plt,16,3,5312,True,False,False
861168,plt_TShowImg_showImage_TString_const,elf_symbol,plt_thunk,._ZN8TShowImg9showImageERK7TString,TShowImg::showImage(TString const&),plt_TShowImg_showImage_TString_const,.plt,16,4,5312,True,False,False
861184,plt_strtofloat_TString_const,elf_symbol,plt_thunk,._Z10strtofloatRK7TString,strtofloat(TString const&),plt_strtofloat_TString_const,.plt,16,65,5312,True,False,False
861200,plt_THTMLPage_setProfile_GuiControlProfile,elf_symbol,plt_thunk,._ZN9THTMLPage10setProfileEP17GuiControlProfile,THTMLPage::setProfile(GuiControlProfile *),plt_THTMLPage_setProfile_GuiControlProfile,.plt,16,4,5312,True,False,False
861216,plt_TIdentification_getSystemID_int,elf_symbol,plt_thunk,._ZN15TIdentification11getSystemIDEi,TIdentification::getSystemID(int),plt_TIdentification_getSystemID_int,.plt,16,1,5248,True,False,False
861232,plt_TScriptMachine_checkStackSpace_int_bool,elf_symbol,plt_thunk,._ZN14TScriptMachine15checkStackSpaceEib,"TScriptMachine::checkStackSpace(int,bool)",plt_TScriptMachine_checkStackSpace_int_bool,.plt,16,35,5312,True,False,False
861248,plt_TFileScripting_getScriptWriteBitmapFilename_TString_const,elf_symbol,plt_thunk,._ZN14TFileScripting28getScriptWriteBitmapFilenameERK7TString,TFileScripting::getScriptWriteBitmapFilename(TString const&),plt_TFileScripting_getScriptWriteBitmapFilename_TString_const,.plt,16,7,5312,True,False,False
861264,plt_GuiControl_setColor_ColorF_const,elf_symbol,plt_thunk,._ZN10GuiControl8setColorERK6ColorF,GuiControl::setColor(ColorF const&),plt_GuiControl_setColor_ColorF_const,.plt,16,1,5312,True,False,False
861280,plt_TGraalVar_getFunctions_void,elf_symbol,plt_thunk,._ZN9TGraalVar12getFunctionsEv,TGraalVar::getFunctions(void),plt_TGraalVar_getFunctions_void,.plt,16,1,5312,True,False,False
861296,.fopen,ida_named_non_elf,,,,,.plt,16,11,5312,True,False,False
861312,.des3_ecb_decrypt,ida_named_non_elf,,,,,.plt,16,1,5312,True,False,False
861328,plt_TFiles_convertAnyFilePathSeparators_TString_const,elf_symbol,plt_thunk,._ZN6TFiles28convertAnyFilePathSeparatorsERK7TString,TFiles::convertAnyFilePathSeparators(TString const&),plt_TFiles_convertAnyFilePathSeparators_TString_const,.plt,16,1,5312,True,False,False
861344,plt_TPixelBuffer_setFormat_int,elf_symbol,plt_thunk,._ZN12TPixelBuffer9setFormatEi,TPixelBuffer::setFormat(int),plt_TPixelBuffer_setFormat_int,.plt,16,1,5312,True,False,False
861360,plt_TGraalVar_indexOfObject_TGraalVar,elf_symbol,plt_thunk,._ZN9TGraalVar13indexOfObjectEPS_,TGraalVar::indexOfObject(TGraalVar*),plt_TGraalVar_indexOfObject_TGraalVar,.plt,16,6,5312,True,False,False
861376,plt_TSocket_getError_void,elf_symbol,plt_thunk,._ZN7TSocket8getErrorEv,TSocket::getError(void),plt_TSocket_getError_void,.plt,16,1,5312,True,False,False
861392,plt_TFontManager_getTextAscent_TString_const_int_TString_const,elf_symbol,plt_thunk,._ZN12TFontManager13getTextAscentERK7TStringiS2_,"TFontManager::getTextAscent(TString const&,int,TString const&)",plt_TFontManager_getTextAscent_TString_const_int_TString_const,.plt,16,2,5312,True,False,False
861408,plt_TSocket_close_void,elf_symbol,plt_thunk,._ZN7TSocket5closeEv,TSocket::close(void),plt_TSocket_close_void,.plt,16,1,5312,True,False,False
861424,plt_TTexture_freeResources_void,elf_symbol,plt_thunk,._ZN8TTexture13freeResourcesEv,TTexture::freeResources(void),plt_TTexture_freeResources_void,.plt,16,2,5312,True,False,False
861440,plt_TServerPlayer_TServerPlayer,elf_symbol,plt_thunk,._ZN13TServerPlayerD1Ev,TServerPlayer::~TServerPlayer(),plt_TServerPlayer_TServerPlayer,.plt,16,1,5312,True,False,False
861456,plt_TPlayer_getStatusFlags_void,elf_symbol,plt_thunk,._ZN7TPlayer14getStatusFlagsEv,TPlayer::getStatusFlags(void),plt_TPlayer_getStatusFlags_void,.plt,16,2,5312,True,False,False
861472,.gettimeofday,ida_named_non_elf,,,,,.plt,16,2,5312,True,False,False
861488,plt_TScriptMachine_stackAddTokens_TGraalVar,elf_symbol,plt_thunk,._ZN14TScriptMachine14stackAddTokensEP9TGraalVar,TScriptMachine::stackAddTokens(TGraalVar *),plt_TScriptMachine_stackAddTokens_TGraalVar,.plt,16,1,5312,True,False,False
861504,plt_TDrawingPanelPort_drawPixels_float_float_float_float_uchar_const_int_int_float_float_float_float_TPalette_const_bool_int_ColorF_const,elf_symbol,plt_thunk,._ZN17TDrawingPanelPort10drawPixelsEffffPKhiiffffPK8TPalettebiRK6ColorF,"TDrawingPanelPort::drawPixels(float,float,float,float,uchar const*,int,int,float,float,float,float,TPalette const*,bool,int,ColorF const&)",plt_TDrawingPanelPort_drawPixels_float_float_float_float_uchar_const_int_int_float_float_float_float_TPalette_const_bool_int_ColorF_const,.plt,16,4,5312,True,False,False
861520,plt_THTMLPage_emitNewLine_uint,elf_symbol,plt_thunk,._ZN9THTMLPage11emitNewLineEj,THTMLPage::emitNewLine(uint),plt_THTMLPage_emitNewLine_uint,.plt,16,13,5312,True,False,False
861536,plt_escaped34_TString_const,elf_symbol,plt_thunk,._Z9escaped34RK7TString,escaped34(TString const&),plt_escaped34_TString_const,.plt,16,7,5312,True,False,False
861552,plt_TString_subString_int,elf_symbol,plt_thunk,._ZNK7TString9subStringEi,TString::subString(int),plt_TString_subString_int,.plt,16,67,5312,True,False,False
861568,plt_TServerNPC_loadImage_TString_const,elf_symbol,plt_thunk,._ZN10TServerNPC9loadImageERK7TString,TServerNPC::loadImage(TString const&),plt_TServerNPC_loadImage_TString_const,.plt,16,11,5312,True,False,False
861584,plt_TClientEnvironment_getLoadingScreenEnabled_void,elf_symbol,plt_thunk,._ZN18TClientEnvironment23getLoadingScreenEnabledEv,TClientEnvironment::getLoadingScreenEnabled(void),plt_TClientEnvironment_getLoadingScreenEnabled_void,.plt,16,4,5312,True,False,False
861600,plt_TTime_getTime_void,elf_symbol,plt_thunk,._ZN5TTime7getTimeEv,TTime::getTime(void),plt_TTime_getTime_void,.plt,16,58,5312,True,False,False
861616,plt_CyaInt_s_mp_sub_CyaInt_mp_int_CyaInt_mp_int_CyaInt_mp_int,elf_symbol,plt_thunk,._ZN6CyaInt8s_mp_subEPNS_6mp_intES1_S1_,"CyaInt::s_mp_sub(CyaInt::mp_int *,CyaInt::mp_int *,CyaInt::mp_int *)",plt_CyaInt_s_mp_sub_CyaInt_mp_int_CyaInt_mp_int_CyaInt_mp_int,.plt,16,13,5312,True,False,False
861632,.glActiveTexture,ida_named_non_elf,,,,,.plt,16,6,5312,True,False,False
861648,plt_TGraalVar_copyVarsFrom_TGraalVar,elf_symbol,plt_thunk,._ZN9TGraalVar12copyVarsFromEPS_,TGraalVar::copyVarsFrom(TGraalVar*),plt_TGraalVar_copyVarsFrom_TGraalVar,.plt,16,1,5312,True,False,False
861664,plt_GuiControl_isMouseLocked_int,elf_symbol,plt_thunk,._ZN10GuiControl13isMouseLockedEi,GuiControl::isMouseLocked(int),plt_GuiControl_isMouseLocked_int,.plt,16,5,5312,True,False,False
861680,plt_TResourceFileUser_TResourceFileUser,elf_symbol,plt_thunk,._ZN17TResourceFileUserD1Ev,TResourceFileUser::~TResourceFileUser(),plt_TResourceFileUser_TResourceFileUser,.plt,16,25,5312,True,False,False
861696,plt_TScreenPanelOpenGL_drawQuad_float_float_float_float,elf_symbol,plt_thunk,._ZN18TScreenPanelOpenGL8drawQuadEffff,"TScreenPanelOpenGL::drawQuad(float,float,float,float)",plt_TScreenPanelOpenGL_drawQuad_float_float_float_float,.plt,16,3,5312,True,False,False
861712,.cos,ida_named_non_elf,,,,,.plt,16,6,5312,True,False,False
861728,plt_InitMd5_Md5,elf_symbol,plt_thunk,._Z7InitMd5P3Md5,InitMd5(Md5 *),plt_InitMd5_Md5,.plt,16,12,5312,True,False,False
861744,plt_TBitmap_AnimationStep_TBitmap_AnimationStep_int_int_int_int_int_int_int_TPalette,elf_symbol,plt_thunk,._ZN21TBitmap_AnimationStepC1EiiiiiiiP8TPalette,"TBitmap_AnimationStep::TBitmap_AnimationStep(int,int,int,int,int,int,int,TPalette *)",plt_TBitmap_AnimationStep_TBitmap_AnimationStep_int_int_int_int_int_int_int_TPalette,.plt,16,2,5312,True,False,False
861760,plt_TClient_uploadFilesToServer_void,elf_symbol,plt_thunk,._ZN7TClient19uploadFilesToServerEv,TClient::uploadFilesToServer(void),plt_TClient_uploadFilesToServer_void,.plt,16,1,5312,True,False,False
861776,plt_GuiMLTextCtrl_updateCursorLine_void,elf_symbol,plt_thunk,._ZN13GuiMLTextCtrl16updateCursorLineEv,GuiMLTextCtrl::updateCursorLine(void),plt_GuiMLTextCtrl_updateCursorLine_void,.plt,16,2,5312,True,False,False
861792,plt_TParticleData_clear_void,elf_symbol,plt_thunk,._ZN13TParticleData5clearEv,TParticleData::clear(void),plt_TParticleData_clear_void,.plt,16,1,5312,True,False,False
861808,plt_TPlayer_loseItem_int,elf_symbol,plt_thunk,._ZN7TPlayer8loseItemEi,TPlayer::loseItem(int),plt_TPlayer_loseItem_int,.plt,16,1,5312,True,False,False
861824,plt_TScript_waitingForDownload_void,elf_symbol,plt_thunk,._ZN7TScript18waitingForDownloadEv,TScript::waitingForDownload(void),plt_TScript_waitingForDownload_void,.plt,16,4,5312,True,False,False
861840,plt_TServerPlayer_TServerPlayer_int,elf_symbol,plt_thunk,._ZN13TServerPlayerC2Ei,TServerPlayer::TServerPlayer(int),plt_TServerPlayer_TServerPlayer_int,.plt,16,2,5312,True,False,False
861856,plt_TClientEnvironment_initGraphics_void,elf_symbol,plt_thunk,._ZN18TClientEnvironment12initGraphicsEv,TClientEnvironment::initGraphics(void),plt_TClientEnvironment_initGraphics_void,.plt,16,1,5312,True,False,False
861872,plt_TColorTransform_transform_ColorF,elf_symbol,plt_thunk,._ZNK15TColorTransform9transformER6ColorF,TColorTransform::transform(ColorF &),plt_TColorTransform_transform_ColorF,.plt,16,3,5312,True,False,False
861888,plt_GuiGraalCtrl_GuiGraalCtrl_TString_const,elf_symbol,plt_thunk,._ZN12GuiGraalCtrlC1ERK7TString,GuiGraalCtrl::GuiGraalCtrl(TString const&),plt_GuiGraalCtrl_GuiGraalCtrl_TString_const,.plt,16,1,5312,True,False,False
861904,.memchr,ida_named_non_elf,,,,,.plt,16,2,5312,True,False,False
861920,plt_TScriptMachine_callScriptFunction_TScriptFunction_int,elf_symbol,plt_thunk,._ZN14TScriptMachine18callScriptFunctionEP15TScriptFunctioni,"TScriptMachine::callScriptFunction(TScriptFunction *,int)",plt_TScriptMachine_callScriptFunction_TScriptFunction_int,.plt,16,1,5312,True,False,False
861936,plt_TEventCatcherList_removeEventCatcher_TGraalVar,elf_symbol,plt_thunk,._ZN17TEventCatcherList18removeEventCatcherEP9TGraalVar,TEventCatcherList::removeEventCatcher(TGraalVar *),plt_TEventCatcherList_removeEventCatcher_TGraalVar,.plt,16,2,5312,True,False,False
861952,plt_MRandomLCGProperties_MRandomLCGProperties_void,elf_symbol,plt_thunk,._ZN20MRandomLCGPropertiesC1Ev,MRandomLCGProperties::MRandomLCGProperties(void),plt_MRandomLCGProperties_MRandomLCGProperties_void,.plt,16,1,5312,True,False,False
861968,.yajl_gen_array_close,ida_named_non_elf,,,,,.plt,16,1,5312,True,False,False
861984,plt_TGUIStyle_extractRadioButtonInfo_void,elf_symbol,plt_thunk,._ZN9TGUIStyle22extractRadioButtonInfoEv,TGUIStyle::extractRadioButtonInfo(void),plt_TGUIStyle_extractRadioButtonInfo_void,.plt,16,1,5312,True,False,False
862000,plt_guiTextEditCtrl_initStaticScriptVars_void,elf_symbol,plt_thunk,._Z36guiTextEditCtrl_initStaticScriptVarsv,guiTextEditCtrl_initStaticScriptVars(void),plt_guiTextEditCtrl_initStaticScriptVars_void,.plt,16,1,5312,True,False,False
862016,plt_m_matF_transpose_float,elf_symbol,plt_thunk,._Z16m_matF_transposePf,m_matF_transpose(float *),plt_m_matF_transpose_float,.plt,16,4,5312,True,False,False
862032,plt_GuiControlProfile_setFontStyle_TString_const,elf_symbol,plt_thunk,._ZN17GuiControlProfile12setFontStyleERK7TString,GuiControlProfile::setFontStyle(TString const&),plt_GuiControlProfile_setFontStyle_TString_const,.plt,16,1,5312,True,False,False
862048,plt_TPixelBuffer_TPixelBuffer,elf_symbol,plt_thunk,._ZN12TPixelBufferD2Ev,TPixelBuffer::~TPixelBuffer(),plt_TPixelBuffer_TPixelBuffer,.plt,16,1,5312,True,False,False
862064,plt_CyaInt_mp_exptmod_CyaInt_mp_int_CyaInt_mp_int_CyaInt_mp_int_CyaInt_mp_int,elf_symbol,plt_thunk,._ZN6CyaInt10mp_exptmodEPNS_6mp_intES1_S1_S1_,"CyaInt::mp_exptmod(CyaInt::mp_int *,CyaInt::mp_int *,CyaInt::mp_int *,CyaInt::mp_int *)",plt_CyaInt_mp_exptmod_CyaInt_mp_int_CyaInt_mp_int_CyaInt_mp_int_CyaInt_mp_int,.plt,16,7,5312,True,False,False
862080,plt_TFont_testFitInWidth_int,elf_symbol,plt_thunk,._ZN5TFont14testFitInWidthEi,TFont::testFitInWidth(int),plt_TFont_testFitInWidth_int,.plt,16,1,5312,True,False,False
862096,plt_CyaInt_FreeSigners_CyaInt_Signer_void,elf_symbol,plt_thunk,._ZN6CyaInt11FreeSignersEPNS_6SignerEPv,"CyaInt::FreeSigners(CyaInt::Signer *,void *)",plt_CyaInt_FreeSigners_CyaInt_Signer_void,.plt,16,2,5312,True,False,False
862112,plt_TFiles_fileIsFolder_TString_const,elf_symbol,plt_thunk,._ZN6TFiles12fileIsFolderERK7TString,TFiles::fileIsFolder(TString const&),plt_TFiles_fileIsFolder_TString_const,.plt,16,3,5312,True,False,False
862128,.FT_Stream_Read,ida_named_non_elf,,,,,.plt,16,8,5312,True,False,False
862144,.FT_Outline_Transform,ida_named_non_elf,,,,,.plt,16,3,5312,True,False,False
862160,plt_TServerNPC_getActionPlayer_int,elf_symbol,plt_thunk,._ZN10TServerNPC15getActionPlayerEi,TServerNPC::getActionPlayer(int),plt_TServerNPC_getActionPlayer_int,.plt,16,1,5312,True,False,False
862176,plt_TString_addunsignedlongint_ulong_long_int_int_bool_bool,elf_symbol,plt_thunk,._ZN7TString18addunsignedlongintEyiibb,"TString::addunsignedlongint(ulong long,int,int,bool,bool)",plt_TString_addunsignedlongint_ulong_long_int_int_bool_bool,.plt,16,1,5312,True,False,False
862192,plt_TShowImg_drawShowImage_Sprite_TPlayer_float_float_float_int_TParticleDataEx,elf_symbol,plt_thunk,._ZN8TShowImg20drawShowImage_SpriteEP7TPlayerfffiP15TParticleDataEx,"TShowImg::drawShowImage_Sprite(TPlayer *,float,float,float,int,TParticleDataEx *)",plt_TShowImg_drawShowImage_Sprite_TPlayer_float_float_float_int_TParticleDataEx,.plt,16,1,5312,True,False,False
862208,plt_GuiControl_setBlue_float,elf_symbol,plt_thunk,._ZN10GuiControl7setBlueEf,GuiControl::setBlue(float),plt_GuiControl_setBlue_float,.plt,16,1,5312,True,False,False
862224,plt_TEventObject_TEventObject,elf_symbol,plt_thunk,._ZN12TEventObjectD1Ev,TEventObject::~TEventObject(),plt_TEventObject_TEventObject,.plt,16,1,5312,True,False,False
862240,plt_TDrawingPanelPixelBuffer_TDrawingPanelPixelBuffer,elf_symbol,plt_thunk,._ZN24TDrawingPanelPixelBufferD1Ev,TDrawingPanelPixelBuffer::~TDrawingPanelPixelBuffer(),plt_TDrawingPanelPixelBuffer_TDrawingPanelPixelBuffer,.plt,16,1,5312,True,False,False
862256,plt_jinit_inverse_dct_jpeg_decompress_struct,elf_symbol,plt_thunk,._Z17jinit_inverse_dctP22jpeg_decompress_struct,jinit_inverse_dct(jpeg_decompress_struct *),plt_jinit_inverse_dct_jpeg_decompress_struct,.plt,16,2,5312,True,False,False
862272,plt_TServerLevel_getTileType_double_double,elf_symbol,plt_thunk,._ZN12TServerLevel11getTileTypeEdd,"TServerLevel::getTileType(double,double)",plt_TServerLevel_getTileType_double_double,.plt,16,16,5312,True,False,False
862288,plt_TResourceFunctions_getResourceStreamAsList_TString_const_bool_bool,elf_symbol,plt_thunk,._ZN18TResourceFunctions23getResourceStreamAsListERK7TStringbb,"TResourceFunctions::getResourceStreamAsList(TString const&,bool,bool)",plt_TResourceFunctions_getResourceStreamAsList_TString_const_bool_bool,.plt,16,2,5312,True,False,False
862304,plt_TWindow_onKeyEvent_int_int_TString_const_int_bool_bool,elf_symbol,plt_thunk,._ZN7TWindow10onKeyEventEiiRK7TStringibb,"TWindow::onKeyEvent(int,int,TString const&,int,bool,bool)",plt_TWindow_onKeyEvent_int_int_TString_const_int_bool_bool,.plt,16,2,5312,True,False,False
862320,plt_TClient_sendLevelLinking_TString_const_double_double,elf_symbol,plt_thunk,._ZN7TClient16sendLevelLinkingERK7TStringdd,"TClient::sendLevelLinking(TString const&,double,double)",plt_TClient_sendLevelLinking_TString_const_double_double,.plt,16,5,5312,True,False,False
862336,.glVertexPointer,ida_named_non_elf,,,,,.plt,16,3,5312,True,False,False
862352,plt_GuiControl_setRotationCenter_TPoint_const,elf_symbol,plt_thunk,._ZN10GuiControl17setRotationCenterERK6TPoint,GuiControl::setRotationCenter(TPoint const&),plt_GuiControl_setRotationCenter_TPoint_const,.plt,16,1,5312,True,False,False
862368,plt_GuiMLTextCtrl_selectText_int_int,elf_symbol,plt_thunk,._ZN13GuiMLTextCtrl10selectTextEii,"GuiMLTextCtrl::selectText(int,int)",plt_GuiMLTextCtrl_selectText_int_int,.plt,16,1,5312,True,False,False
862384,plt_TServerPlayer_initPlayerVars_void,elf_symbol,plt_thunk,._ZN13TServerPlayer14initPlayerVarsEv,TServerPlayer::initPlayerVars(void),plt_TServerPlayer_initPlayerVars_void,.plt,16,2,5312,True,False,False
862400,plt_TString_makeUnique_void,elf_symbol,plt_thunk,._ZN7TString10makeUniqueEv,TString::makeUnique(void),plt_TString_makeUnique_void,.plt,16,30,5312,True,False,False
862416,.glLineWidth,ida_named_non_elf,,,,,.plt,16,2,5312,True,False,False
862432,plt_TGraalVar_getProperty_uint_TString_const_TGraalVar,elf_symbol,plt_thunk,._ZN9TGraalVar11getPropertyEjRK7TStringPPS_,"TGraalVar::getProperty(uint,TString const&,TGraalVar**)",plt_TGraalVar_getProperty_uint_TString_const_TGraalVar,.plt,16,1,5312,True,False,False
